Date,User,Tweet,clean_tweets
2022-09-03 12:50:43+00:00,Kenyanese,@Murakariuki @AbsaKenya Kwani ni Form 34A? Let the send its JPEG image if the conversion ndio inafanya waitishe hio… https://t.co/69cH7NpfdU,Kwani ni Form 34A? Let send JPEG image conversion ndio inafanya waitishe hio…
2022-09-03 12:46:22+00:00,Nyakundi O' Mokogoti,@Murakariuki @AbsaKenya @Absa why are u like this?,u like this?
2022-09-03 12:46:04+00:00,Rutune Motor World,@Murakariuki @AbsaKenya Apana....they don't charge.,Apana....they charge.
2022-09-03 12:30:34+00:00,Mura,"@AbsaKenya I know we get free monthly statements. So do other banks. 

But if I request @Coopbankenya or @StanbicKE… https://t.co/9WBzMnlS5H",I know get free monthly statements. So banks. But I request …
2022-09-03 12:26:06+00:00,FAINAFO🍍,@AbsaKenya @Murakariuki Elezeni hapa tujue. Shenzi,Elezeni hapa tujue. Shenzi
2022-09-03 12:21:28+00:00,Absa Bank Kenya,"@Murakariuki Hi, please check your DM for further clarification. ^PM","Hi, please check DM clarification. ^PM"
2022-09-03 12:18:27+00:00,Mura,"Every bank gives free statements by email on request. But @AbsaKenya wants you to pay 590 ksh per page. 

Per page.… https://t.co/JzXb84hZxA",Every bank gives free statements email request. But wants pay 590 ksh per page. Per page.…
2022-09-03 12:08:34+00:00,Kennedy KK 😷,@ChairmanTole @KCBGroup @KeEquityBank @Coopbankenya @AbsaKenya @GovernorMwadime If it makes business sense they'll come running...,If makes business sense they'll come running...
2022-09-03 11:19:10+00:00,エヴァンス Kimosop 🇰🇪 🇳🇦 🇬🇭 🇺🇬 🇹🇿 🇿🇦 🌍,@Lalantaer @ChairmanTole @Lwangees @KCBGroup @KeEquityBank @Coopbankenya @AbsaKenya @GovernorMwadime Let SACCOs tha… https://t.co/ihWjQVs9g5,Let SACCOs tha…
2022-09-03 10:30:23+00:00,Absa Bank Kenya,"@KarimiMutua Cool, calling you shortly. ^PM","Cool, calling shortly. ^PM"
2022-09-03 10:29:19+00:00,Patrick Karimi,@AbsaKenya Shared,Shared
2022-09-03 10:19:51+00:00,Absa Bank Kenya,"@kelkinoti Hi, please check your DM, already advised. ^PM","Hi, please check DM, already advised. ^PM"
2022-09-03 10:15:28+00:00,Dr,@AbsaKenya  revert DM urgently!,revert DM urgently!
2022-09-03 10:12:59+00:00,Absa Bank Kenya,@KarimiMutua Please share your mobile number via inbox so that I can call you for clarification. ^PM,Please share mobile number via inbox I call clarification. ^PM
2022-09-03 10:10:43+00:00,Patrick Karimi,"@AbsaKenya Yes, give the consent BUT NOT use the money. It is not his.","Yes, give consent BUT NOT use money. It his."
2022-09-03 09:27:29+00:00,Absa Bank Kenya,@KarimiMutua Kindly note that before we reverse the funds the recipient has to give us consent. ^PM,Kindly note reverse funds recipient give us consent. ^PM
2022-09-03 09:20:10+00:00,Patrick Karimi,"@AbsaKenya But why should the recepient use money that is clearly not his? I informed the bank the same day, the 13… https://t.co/M47muvqlKo","But recepient use money clearly his? I informed bank day, 13…"
2022-09-03 09:13:58+00:00,Absa Bank Kenya,"@KarimiMutua Hi Patrick, I can see the case is  21356907 still in progress, I kindly request for your patience even… https://t.co/kSaqwK0uZL","Hi Patrick, I see case 21356907 still progress, I kindly request patience even…"
2022-09-03 09:09:56+00:00,Patrick Karimi,@AbsaKenya Sent money to the wrong paybill on 13/8/22. Given reference No: 21356907. Told to wait till mid-month fo… https://t.co/OntMpUIwYz,Sent money wrong paybill 13/8/22. Given reference No: 21356907. Told wait till mid-month fo…
2022-09-03 08:05:57+00:00,William Okoth,@BranchRev @ChairmanTole @KCBGroup @KeEquityBank @Coopbankenya @AbsaKenya @GovernorMwadime Not sure when but looks… https://t.co/UeRz7FMkHW,Not sure looks…
2022-09-03 07:39:05+00:00,Rev. Olive Branch,@williamokoth @ChairmanTole @KCBGroup @KeEquityBank @Coopbankenya @AbsaKenya @GovernorMwadime Wundanyi is the HQ. W… https://t.co/fWiDWhb11q,Wundanyi HQ. W…
2022-09-03 06:28:15+00:00,Jorumtoro,@ChairmanTole @TremboS @KCBGroup @KeEquityBank @Coopbankenya @AbsaKenya @GovernorMwadime Something must be seriousl… https://t.co/1JDSzFDKMV,Something must seriousl…
2022-09-03 05:35:06+00:00,Mr. MeeThinks,@ChairmanTole @KCBGroup @KeEquityBank @Coopbankenya @AbsaKenya @GovernorMwadime When I was there it was hectic trav… https://t.co/32uFtwDrFN,When I hectic trav…
2022-09-03 04:57:39+00:00,sir jermy,@ChairmanTole @TuJadili @KCBGroup @KeEquityBank @Coopbankenya @AbsaKenya @GovernorMwadime Voi stole them,Voi stole
2022-09-03 04:56:22+00:00,Absa Bank Kenya,@BardiMegLatto Please DM us your details so that we may check further and get back to you ^BL,Please DM us details may check get back ^BL
2022-09-03 04:55:03+00:00,Dainty🎀,@AbsaKenya https://t.co/kcB5hGzCo4,
2022-09-03 04:54:36+00:00,Absa Bank Kenya,"@RonohClinton Hi Ronoh, I have responded to your DM ^BL","Hi Ronoh, I responded DM ^BL"
2022-09-03 04:51:39+00:00,Ronoh K Clinton,@AbsaKenya DM,DM
2022-09-03 04:50:01+00:00,Absa Bank Kenya,@BardiMegLatto Please try to access right now and advise whether you are still getting the error ^BL,Please try access right advise whether still getting error ^BL
2022-09-03 04:47:33+00:00,Dainty🎀,@AbsaKenya I get the error immediately I dial since last night,I get error immediately I dial since last night
2022-09-03 04:46:37+00:00,Absa Bank Kenya,"@BardiMegLatto Hello, At which point are you getting the error message? ^BL","Hello, At point getting error message? ^BL"
2022-09-03 04:45:22+00:00,Dainty🎀,Hey @AbsaKenya fix your *244# keeps saying service is unavailable and some of us don’t wanna go to the bank. It’s 2… https://t.co/ncVD0JJAgJ,Hey fix *244# keeps saying service unavailable us don’t wanna go bank. It’s 2…
2022-09-03 04:36:11+00:00,William Okoth,@ChairmanTole @KCBGroup @KeEquityBank @Coopbankenya @AbsaKenya @GovernorMwadime Suprised that Mwatate is the headqu… https://t.co/0PoS6oipHC,Suprised Mwatate headqu…
